sk_respondente,sk_pergunta,publico,bloco,pergunta_slug,valor_texto,valor_numerico,carimbo,fonte
8,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:02:41.390,pesquisa_primaria
9,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:03:19.611,pesquisa_primaria
10,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:03:56.180,pesquisa_primaria
11,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:05:29.471,pesquisa_primaria
12,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:06:17.115,pesquisa_primaria
13,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:06:53.372,pesquisa_primaria
14,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:19:46.080,pesquisa_primaria
15,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:20:34.264,pesquisa_primaria
16,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:21:39.067,pesquisa_primaria
17,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:27:27.517,pesquisa_primaria
18,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:43:07.909,pesquisa_primaria
19,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 18:52:43.021,pesquisa_primaria
20,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-24 19:10:38.159,pesquisa_primaria
21,2,contratante,perfil,arranjo_moradia,Moro sozinho(a).,,2026-03-24 19:15:06.376,pesquisa_primaria
22,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-24 19:19:15.991,pesquisa_primaria
23,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:24:55.289,pesquisa_primaria
24,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:37:26.345,pesquisa_primaria
25,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:39:36.488,pesquisa_primaria
26,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:40:24.807,pesquisa_primaria
27,2,contratante,perfil,arranjo_moradia,Moro com o(a) parceiro(a) (sem filhos).,,2026-03-24 19:42:12.918,pesquisa_primaria
28,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:44:37.119,pesquisa_primaria
29,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:44:38.104,pesquisa_primaria
30,2,contratante,perfil,arranjo_moradia,Moro com família/filhos.,,2026-03-24 19:44:49.352,pesquisa_primaria
